	strain	date	accession	authors	institution	focus_areas
5015	Monkeypox/PT0486/2022	2022-08-09	OP555562	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5016	MPXV_USA_2022_MA0214	2022-XX-XX	OQ730232	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5017	MPXV/Germany/2022/ON/RKI880	2022-07-XX	OQ773499	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5018	NY-NYCPHL-000145	2022-06-XX	OQ504404	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5019	41_A	2022-08-31	OR264411	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
5020	MPX_diQWGf_9000250	2022-08-XX	OP415221	Groves et al.	UKHSA, Research and Evaluation	Global
5021	NY-NYCPHL-000748	2022-10-XX	OQ468784	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5022	MPXV/Germany/2022/ON/RKI928	2022-06-XX	OR449642	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5023	MPXV/Germany/2022/ON/RKI764	2022-07-XX	OR463725	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5024	MPX/PT0049/2022	2022-08-01	OP245306	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5025	hMPXV/Australia/VIC-8778/2024	2024-06-17	PQ153174	Edenborough et al.	Melbourne Health, VIDRL	Global
5026	MPXV/Germany/2022/RKI351	2022-09-XX	OP484672	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5027	Z22IRL00433	2022-08-10	OR146343	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5028	hMPXV/Austria/MUW1539124/2022	2022-08-02	OP422342	Camp et al.	Medical University of Vienna, Center for Virology	Global
5029	MPXV_USA_2022_DC0011	2022-06-XX	OP451010	Gigante et al.	CDC, DHCPP-PRB	North America
5030	MPXV/Germany/2022/RKI257	2022-08-XX	OP215276	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5031	MpxV/human/USA/WA-UW-048370/2023	2023-04-XX	OQ979623	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5032	MPXV-ROK-P53/23-2023	2023-08-28	OR855766	Chung et al.	Korea Disease Control and Prevention Agency, Division of High-risk Pathogens	Global
5033	MPXV/Germany/2022/RKI536	2022-06-XX	OP715816	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5034	MPXV_USA_2022_MI0001	2022-06-XX	OP378702	Gigante et al.	CDC, DHCPP-PRB	North America
5035	Monkeypox/PT0471/2022	2022-08-08	OP555550	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5036	Z22IRL00522	2022-08-24	OR146397	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5037	MPX/Human/USA/CA-LACPHL-MA00195/2022	2022-07-20	OP615268	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5038	NY-NYCPHL-0001387	2024-09-XX	PQ520561	Taki et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5039	MPXV_USA_2022_MA0072	2022-XX-XX	OP890429	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5040	CHVir44025_Sep2023	2023-XX-XX	PP002088	Obermeier et al.	Charite - Universitatsmedizin Berlin, Institute of Virology	Global
5041	32_C	2022-08-24	OR264395	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
5042	MN-MDH-MPXV_0057	2022-08-10	OR353567	Plumb et al.	Minnesota Department of Health, Public Health Laboratory	North America
5043	MPXV-USA-IL-IDPH-065	2022-06-27	OP536726	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
5044	Monkeypox/PT0303/2022	2022-06-07	OP414337	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5045	MPXV/Germany/2022/RKI018	2022-05-XX	ON694335	Brinkmann et al.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany	Global
5046	MPXV/Germany/2022/RKI235	2022-08-XX	OP215224	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5047	39_I	2022-05-19	OR264407	Taouk et al.	The Peter Doherty Institute for Infection and Immunity at the University of Melbourne, Department of Infectious Diseases	Global
5048	MPXV/Germany/2022/RKI371	2022-09-XX	OP484692	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5049	MPXV/Germany/2024/ON/RKI1126	2024-09-XX	PQ419877	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5050	MPX_i96eY5_9000346	2022-08-XX	OP415274	Groves et al.	UKHSA, Research and Evaluation	Global
5051	MPXV-USA-IL-IDPH-021	2022-07-05	OP536682	Gagnon et al.	Southern Illinois University, Molecular Biology, Microbiology, and Biochemistry	North America
5052	NY-NYCPHL-000951	2022-07-XX	OQ565527	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5053	MPXV_UK_2022_9000062	2022-06-05	OP205068	Groves et al.	UKHSA, Research and Evaluation	Global
5054	MPXV/Human/USA/CA-LACPHL-MA00567/2024	2024-01-24	PP338777	McCann et al.	Los Angeles County Department of Public Health Laboratory, Sequencing Unit	Los Angeles County
5055	Monkeypox/PT0557/2022	2022-08-30	OP555628	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5056	Monkeypox/PT0136/2022	2022-07-10	OP324459	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5057	MPXV/Germany/2022/ON/RKI610	2022-08-XX	OP894030	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5058	hMpxV/UK/LMO-010a/2022	2022-06-21	OP390189	McHugh et al.	Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory	Global
5059	NY-NYCPHL-000328	2022-08-XX	OQ469083	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5060	NY-NYCPHL-000856	2022-07-XX	OQ565480	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5061	NY-NYCPHL-001186	2023-01-XX	OQ419086	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5062	Monkeypox/PT0203/2022	2022-06-23	OP324514	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5063	MpxV/human/USA/WA-UW-025109/2023	2023-02-XX	OR427347	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5064	ZIRL00158	2022-06-23	OR146444	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5065	MPX/Human/USA/CA-LACPHL-MA00238/2022	2022-07-21	OP722497	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5066	Z22IRL00290	2022-07-18	OR146372	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5067	MPXV/Germany/2024/ON/RKI1108	2024-08-XX	PQ352002	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5068	MPXV/Germany/2022/RKI571	2022-10-XX	OP764629	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5069	NY-NYCPHL-000936	2022-07-XX	OQ565518	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5070	MPXV/Germany/2022/RKI170	2022-07-XX	OP018595	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5071	MPXV_USA_2022_MA0137	2022-XX-XX	OP890488	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5072	hMPXV/Australia/VIC-8843/2024	2024-06-17	PQ153175	Edenborough et al.	Melbourne Health, VIDRL	Global
5073	hMpxV/USA/CA-CDPH-1M1000352/2023	2023-10-04	PQ336071	Kath et al.	CDPH, VRDL	Other California
5074	MPXV/Germany/2024/ON/RKI1184	2024-11-XX	PV008673	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5075	ANT-LDSP-ANT-MPX-25458E	2022-09-14	OP642418	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
5076	hMpxV/Canada/ON-PHOL096/2022	2022-09-01	OR759184	Isabel et al.	Public Health Ontario, Microbiology and Laboratory Science	North America
5077	MPXV/Germany/2025/ON/RKI1240	2025-01-XX	PV173505	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5078	MPXV_USA_2022_TX0009	2022-09-XX	OQ557956	Gigante et al.	CDC, DHCPP-PRB	North America
5079	MPXV_2318_SP_2022	2022-XX-XX	OX344885	Cuesta et al.	Institute of Health Carlos III, Bioinformatics Unit, Carretera Majadahonda-Pozuelo km2	Global
5080	LIM-INS-016	2022-07-09	OP320554	Padilla et al.	Instituto Nacional de Salud Peru, Laboratorio de Biotecnologia y Biologia Molecular	Global
5081	MPXV_USA_2022_CA002	2022-05-XX	ON954773	Gigante et al.	Centers for Disease Control and Prevention, Division of High-Consequence Pathogens and Pathology	North America
5082	NY-NYCPHL-000260	2022-08-XX	OQ469064	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5083	MPXV/Germany/2022/ON/RKI908	2022-06-XX	OR449621	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5084	MN-MDH-MPXV_0022	2022-07-18	OP597796	Plumb et al.	Minnesota Department of Health	North America
5085	Monkeypox/PT0532/2022	2022-08-18	OP555603	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5086	NY-NYCPHL-000387	2022-08-XX	OQ504425	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5087	MPXV_USA_2022_MA0007	2022-XX-XX	OP890365	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5088	hMpxV/Romania/B-35_R2/2023	2023-01-26	OR500085	Hohan et al.	National Institute for Infectious Diseases 'Matei Bals', Molecular Diagnostics Laboratory	Global
5089	MPX/PT0090/2022	2022-07-21	OP245340	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5090	NY-NYCPHL-000557	2022-07-XX	OQ469110	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5091	hMpxV/USA/CA-CDPH-000052/2022	2022-07-21	OP863227	Haw et al.	CDPH, VRDL	Other California
5092	MpxV/human/USA/WA-UW-091051/2022	2022-09-XX	OQ503772	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5093	MpxV/human/CAN/UN-NML-3702/2022	2022-06-15	ON983166	Duggan et al.	National Microbiology Laboratory, Public Health Agency of Canada	North America
5094	MPXV_USA_2022_LA0009	2022-08-XX	OQ702779	Gigante et al.	CDC, DHCPP-PRB	North America
5095	MPXV/Germany/2024/ON/RKI1122	2024-09-XX	PQ352016	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5096	hMpxV/USA/CA-CDPH-1MPX1000125/2022	2022-06-21	OQ348872	Probert et al.	CDPH, VRDL	Other California
5097	MPXV/Germany/2022/RKI440	2022-09-XX	OP594204	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5098	NY-NYCPHL-000147	2022-06-XX	OQ469151	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5099	MPV/PT0718/2023	2023-09-01	OR804486	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5100	MPXV_USA_2022_TX0239	2022-10-XX	PQ340496	Gigante et al.	CDC, DHCPP-PRB	North America
5101	MPXV_USA_2022_DC0020	2022-09-XX	OQ320449	Gigante et al.	CDC, DHCPP-PRB	North America
5102	NY-NYCPHL-000790	2022-07-XX	OQ468662	Amin et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5103	MPXV_USA_2022_CA0037	2022-06-XX	OP687928	Gigante et al.	CDC, DHCPP-PRB	North America
5104	NY-NYCPHL-000689	2022-07-XX	OQ419064	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5105	MPXV_USA_2022_IL0028	2022-06-XX	OP303783	Gigante et al.	CDC, DHCPP-PRB	North America
5106	MPXV_USA_2022_NJ0002	2022-06-XX	OP451001	Gigante et al.	CDC, DHCPP-PRB	North America
5107	hMPXV/Austria/MUW1607960/2023	2023-04-05	OR113690	Camp et al.	Medical University of Vienna, Center for Virology	Global
5108	ANT-LDSP-ANT-MPX-30094O	2022-11-08	OQ696095	Betancur et al.	Laboratorio Departamental de Salud Publica de Antioquia, Antioquia	Global
5109	hMpxV/USA/CA-CDPH-1M1000434/2023	2023-10-12	PQ218894	Kath et al.	CDPH, VRDL	Other California
5110	MPXV/Germany/2025/ON/RKI1211	2025-01-XX	PV008700	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5111	MPXV_USA_2022_VA0002	2022-06-XX	OP225961	Gigante et al.	CDC, DHCPP-PRB	North America
5112	MPXV/B1	2022-XX-XX	PP098588	Viscardi et al.	Istituto Zooprofilattico Sperimentale del Mezzogiorno, Hanimal Health	Global
5113	MPXV_FVG-ITA_01_2022	2022-05-25	ON644344	Licastro et al.	Genomics & Epigenomics, AREA Science Park, Italy	Global
5114	MPXV/PT0602/2022	2022-10-20	OR865758	Sobral et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5115	MPXV/Human/USA/CA-LACPHL-MA00354/2022	2022-10-16	OP920692	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5116	NY-NYCPHL-001260	2024-01-XX	PP533300	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5117	MpxV/human/USA/WA-UW-096529/2022	2022-09-XX	OP743985	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5118	NY-NYCPHL-001082	2022-07-XX	OQ469262	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5119	hMpxV/USA/CA-CDPH-1M1000476/2024	2024-02-15	PQ218932	Kath et al.	CDPH, VRDL	Other California
5120	JS-NTCDC-230006	2024-01-24	PQ672985	Ji et al.	Nantong Center for Disease Control and Prevention, Key Laboratory of Medicine	Global
5121	MPX/Human/USA/CA-LACPHL-MA00142/2022	2022-08-29	OP539927	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5122	NY-NYCPHL-000125	2022-06-XX	OQ469140	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5123	MPXV/Germany/2022/ON/RKI730	2022-07-XX	OQ547757	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5124	MPXV/Germany/2022/ON/RKI417	2022-09-XX	OP588280	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5125	NY-NYCPHL-001216	2023-08-XX	PP533324	Clabby et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5126	MPX_KJ3uDD_9000210	2022-06-XX	OP415190	Groves et al.	UKHSA, Research and Evaluation	Global
5127	NJ-MPXV-038	2022-07-19	OP879753	Palmateer et al.	New Jersey Department of Health, Public Health and Environmental Laboratories	North America
5128	hMpxV/USA/CACDPH1MPX1000169/2023	2023-01-09	OQ547894	Probert et al.	CDPH, VRDL	Other California
5129	MPXV_USA_2022_MA0041	2022-XX-XX	OP890399	Doucette et al.	Massachusetts State Public Health Laboratory, DPH	North America
5130	MPXV/Germany/2022/RKI038	2022-06-XX	ON755244	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5131	ZIRL00045	2022-05-31	OR146435	Gonzalez et al.	University College Dublin, National Virus Reference Laboratory	Global
5132	MpxV/human/USA/WA-UW-087328/2022	2022-08-XX	OP628473	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5133	MPXV/Germany/2022/RKI555	2022-07-XX	OP715835	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5134	hMPX/Human/USA/CA-LACPHL-MA00040/2022	2022-07-21	OP442568	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5135	Monkeypox virus/Human/USA/CA-LACPHL-MA00681/2024	2024-08-29	PQ388207	Heibeck et al.	Los Angeles County Department of Public Health, Los Angeles County Department of Public Health Laboratory	Los Angeles County
5136	MPXV/Germany/2022/ON/RKI624	2022-08-XX	OP894044	Brinkmann et al.	Robert Koch Institute, Centre for Biological Threats, Highly Pathogenic Viruses	Global
5137	MPXV/PT0618/2023	2023-01-12	OR865768	Sobral et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5138	NY-NYCPHL-000029	2022-07-XX	OQ504382	Wang et al.	NYC Department of Health and Mental Hygiene, Public Health Laboratory	New York City
5139	MN-MDH-MPXV_0018	2022-07-19	OP597792	Plumb et al.	Minnesota Department of Health	North America
5140	hMpxV/UK/LMO-032a/2022	2022-07-11	OP390197	McHugh et al.	Royal Infirmary of Edinburgh, Viral Genotyping Reference Laboratory	Global
5141	BOL-UNIMOL-MPX-293772-L	2022-11-17	OP959064	Loyola et al.	Universidad de Cartagena, Laboratorio de Investigacion Molecular (UNIMOL)	Global
5142	MpxV/human/USA/WA-UW-088290/2022	2022-08-XX	OP628483	Sereewit et al.	UW Virology, Laboratory Medicine	Washington
5143	Monkeypox/PT0546/2022	2022-08-27	OP555617	Isidro et al.	National Institute of Health Doutor Ricardo Jorge, Portugal (INSA), Department of Infectious Diseases	Global
5144	MPXV/Human/USA/CA-LACPHL-MA00352/2022	2022-10-11	OP920690	Hemarajata et al.	Los Angeles County Public Health Laboratories, Los Angeles County Department of Public Health	Los Angeles County
5145	hMpxV/USA/CA-CDPH-1M1000637/2024	2024-07-01	PQ159988	Kath et al.	CDPH, VRDL	Other California
